transaction_id,date,amount,type,category,merchant,is_recurring,is_anomaly,notes
TXN-1001,2026-02-18,103.13,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1002,2026-02-20,77.93,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1003,2026-02-21,38.99,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1004,2026-02-22,106.11,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1005,2026-02-22,88.43,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1006,2026-02-23,83.79,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1007,2026-02-23,92.19,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1008,2026-02-24,99.16,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1009,2026-02-24,57.78,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1010,2026-02-24,115.71,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1011,2026-02-25,20.56,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1012,2026-02-26,35.36,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1013,2026-02-26,96.57,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1014,2026-02-27,67.27,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1015,2026-02-27,65.12,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1016,2026-02-28,40.73,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1017,2026-03-01,4250.0,INCOME,Salary & Income,Tech Corp Payroll,True,False,Bi-weekly paycheck deposit
TXN-1018,2026-03-01,2400.0,EXPENSE,Housing & Rent,Skyline Apartments LLC,True,False,Monthly apartment rent payment
TXN-1019,2026-03-01,30.25,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1020,2026-03-01,54.54,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1021,2026-03-02,82.38,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1022,2026-03-02,34.17,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1023,2026-03-03,28.02,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1024,2026-03-05,14.99,EXPENSE,Subscriptions & SaaS,Netflix Monthly,True,False,Regular active subscription
TXN-1025,2026-03-05,9.99,EXPENSE,Subscriptions & SaaS,Spotify Premium,True,False,Regular active subscription
TXN-1026,2026-03-05,49.99,EXPENSE,Subscriptions & SaaS,Forgotten Gym Membership,True,True,Flagged unused subscription
TXN-1027,2026-03-05,89.0,EXPENSE,Subscriptions & SaaS,AWS Cloud Services,True,True,Flagged unused subscription
TXN-1028,2026-03-06,27.22,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1029,2026-03-06,96.41,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1030,2026-03-06,113.98,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1031,2026-03-08,77.95,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1032,2026-03-09,103.26,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1033,2026-03-10,102.08,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1034,2026-03-12,52.53,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1035,2026-03-13,71.66,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1036,2026-03-14,18.92,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1037,2026-03-14,41.48,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1038,2026-03-15,4250.0,INCOME,Salary & Income,Tech Corp Payroll,True,False,Bi-weekly paycheck deposit
TXN-1039,2026-03-16,104.6,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1040,2026-03-16,54.61,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1041,2026-03-16,14.64,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1042,2026-03-17,81.23,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1043,2026-03-17,19.45,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1044,2026-03-18,99.72,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
